StockSymbol,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume
AAPL,2024-01-04,1110.39,620.76,1266.94,1492.7,299863
TSLA,2024-08-10,622.17,1304.09,1869.55,1049.27,538366
AMZN,2024-05-26,1499.6,1099.43,896.73,979.41,758118
NFLX,2024-11-09,1582.95,1943.17,1874.98,356.03,377540
NFLX,2024-09-05,1754.76,1963.79,1451.04,222.5,383220
NVDA,2024-06-07,172.09,346.22,1391.63,630.97,918907
AAPL,2024-04-06,1493.47,382.62,1307.75,1946.07,260896
NFLX,2024-06-26,356.53,1578.25,1218.35,1833.14,571784
MSFT,2023-12-23,1111.4,1672.62,554.15,1584.08,647262
GOOGL,2024-12-03,880.66,1692.56,897.47,1733.83,545145
GOOGL,2024-09-29,320.93,480.31,1523.37,1738.25,489360
AMZN,2024-01-03,227.5,1661.24,1166.53,427.71,431656
NFLX,2024-06-26,1398.46,730.36,856.18,999.44,768680
NFLX,2024-06-10,1158.92,1894.64,1051.83,1737.47,127302
NFLX,2024-11-28,1580.77,808.31,1414.67,906.98,809844
MSFT,2024-07-01,1568.95,830.49,500.3,1965.51,998058
NVDA,2024-08-27,538.82,1638.99,211.24,1511.37,837261
AAPL,2024-12-11,130.38,673.27,371.32,153.62,818454
META,2024-09-17,1903.93,631.24,547.17,910.37,308933
GOOGL,2024-08-02,747.28,515.2,150.11,1778.94,269125
NVDA,2023-12-25,1122.71,1454.62,45.66,1806.12,141154
GOOGL,2024-10-18,1429.29,897.69,1239.42,712.0,383093
AAPL,2023-12-31,1347.82,1060.37,1538.98,1423.37,949823
GOOGL,2023-12-17,1788.57,940.57,1258.65,1708.83,729791
MSFT,2024-06-07,1515.28,674.51,1561.68,168.44,991809
MSFT,2024-11-18,1762.45,1878.6,685.24,1767.55,218693
AMZN,2024-08-24,676.07,852.74,97.18,658.63,800835
NVDA,2024-05-25,1757.03,1614.43,1319.07,1728.29,287487
META,2024-08-05,531.56,902.37,1290.13,702.71,933206
AAPL,2024-12-03,259.75,561.61,916.39,874.45,665906
TSLA,2024-02-04,435.1,753.34,248.74,478.39,662670
MSFT,2024-09-11,1484.76,830.63,51.12,1499.47,865620
TSLA,2024-07-30,1776.17,1787.72,535.85,355.44,638086
META,2024-02-01,600.34,956.15,1951.1,947.24,743654
AAPL,2024-11-28,468.66,1573.72,330.16,434.69,392958
NFLX,2024-10-18,1823.89,1682.48,573.64,210.4,655109
NVDA,2024-10-27,626.93,1633.19,1032.15,1321.97,677616
MSFT,2024-11-05,1168.75,1529.32,1875.66,328.8,592462
TSLA,2024-06-05,1608.97,692.51,848.63,1639.87,507770
META,2024-08-29,1934.42,146.91,1863.08,1016.25,288866
GOOGL,2024-07-09,894.67,697.03,1508.25,783.23,212023
META,2024-03-16,714.56,1766.15,1368.15,1616.11,247661
AMZN,2024-01-04,267.49,1567.41,580.34,154.11,123223
NFLX,2024-05-18,856.57,853.45,1922.89,1890.09,814814
AMZN,2024-03-26,1355.8,1654.2,728.46,927.4,681561
AAPL,2024-02-10,766.11,914.2,1578.71,465.33,254779
TSLA,2024-08-23,711.52,610.07,958.89,1893.59,699640
AMZN,2024-12-04,1466.96,1625.73,833.55,193.64,16905
GOOGL,2024-04-26,1773.11,1846.33,724.19,1304.65,838302
META,2024-08-11,321.68,101.19,1845.28,1392.6,588014
AMZN,2024-04-20,929.84,365.42,1096.02,1930.25,721897
GOOGL,2024-09-24,1756.07,601.74,132.82,1850.1,948829
TSLA,2024-11-29,502.65,811.65,1300.86,512.03,514303
GOOGL,2023-12-18,720.2,349.67,93.24,1259.9,504019
NFLX,2024-08-30,1876.1,1891.65,588.28,539.43,843403
AAPL,2024-05-11,641.19,530.44,1791.91,1415.65,509819
TSLA,2024-05-18,175.9,1385.89,676.14,654.65,18353
META,2024-05-05,508.57,1054.44,1257.01,923.06,491407
AAPL,2024-10-27,1924.64,1425.18,332.07,1173.04,705670
